,birth,death,gender,hair,height,name,race,realm,spouse
32,SA 543,SA 942,Male,,,Tar-Meneldur,Men,Númenor,Almarian
33,SA 2618,SA 2899,Male,,,Tar-Ardamin,Men,Númenor,Unnamed wife
34,SA 1634,SA 2035,Male,,,Tar-Ciryatan,Men,Númenor,Unnamed wife
35,SA 1003,SA 1404,Male,,,Tar-Anárion,Men,Númenor,Unnamed wife
36,SA 873,SA 1285,Female,,,Tar-Ancalimë,Men,Númenor,Hallacar
37,SA 1986,SA 2386,Male,,,Tar-Ancalimon,Men,Númenor,Unnamed wife
38,SA 192,SA 603,Male,,,Tar-Amandil,Men,Númenor,Unnamed wife
39,SA 2406,SA 2737,Male,,,Tar-Alcarin,Men,Númenor,Unnamed wife
40,,,,,,Tanta (Hornblower) Baggins,Unknown,,
41,TA 2922,,Female,Dark,Tall,Morwen Steelsheen,Men,Rohan,Thengel
42,,,,,,Squint-eyed Southerner,Unknown,,
43,SA 799,"Early ,Second Age",Male,,,Soronto,Men,,None
44,SA 700,SA 1098,Male,,,Tar-Aldarion,Men,Númenor,Erendis
45,"YT, and perhaps Firstborn",YT 1495,Male,Black,,Finwë,Elves,"Tirion,Formenos","Míriel Serindë then ,Indis"
46,YT 1300,FA 465,Male,Golden,,Finrod,Elves,,"Loved ,Amarië but they never married"
47,"YT during the ,Noontide of Valinor",FA 472,Male,Dark,,Fingon,Elves,Hithlum,
48,YT 1190,FA 455,Male,Dark,,Fingolfin,Elves,"Hithlum,Beleriand",Anairë
49,TA 2950,TA 2988,Female,Dark,,Finduilas of Dol Amroth,Men,,Denethor II
50,First Age,FA 495,Female,Golden,,Finduilas,Elves,,"None; betrothed to ,Gwindor, but never married."
51,Years of the Trees,,Female,,,Findis,Elves,,
52,Fourth Age,"sometime after ,FO 172",Male,,,Findegil,Men,,
53,YT 1230,Still Alive,Male,Golden,,Finarfin,Elves,Tirion,Eärwen
54,,,,,,Fimbrethil,Unknown,,
55,TA 2701,TA 2801,Male,,,Ferumbras Took II,Hobbits,,Unnamed wife
56,"Late ,Third Age","Early ,Fourth Age",Male,Brown (film),,Bill Ferny,Men,,
57,TA 2870,TA 2953,Male,,,Fengel,Men,Rohan,
58,,,,,,Fastred of Greenholm,Unknown,,
59,"Late ,Third Age","March 15 ,3019",Male,,,Fastred (Pelennor Fields),Men,,
60,TA 2858,TA 2885,Male,,,Fastred,Men,,
61,SR 1210,,Male,,,Fastolph Bolger,Hobbits,Shire,Pansy Baggins
62,TA 2560,TA 2803,Male,,,Farin,Dwarves,,Unnamed wife
63,"Mid ,Third Age",TA 1944,Male,,,Faramir (son of Ondoher),Men,,
64,TA 2983,"February 26 ,82",Male,Raven,,Faramir,Men,Minas Ithil,owyn
65,,,,,,Falathar,Unknown,,
66,,,,,,Elfstan Fairbairn,Unknown,,
67,,February 293019,Male,,,Snaga (Two Towers orc),Orcs,,
68,,TA 3019,Male,,,Snaga,Orcs,,
69,"Unknown, first appeared in ,TA 2770","November 1 ,TA 2941",Male,,,Smaug,Dragons,Lonely Mountain,
70,,,,,,Seers,Unknown,,
71,"Late ,Third Age",,Male,,,Robin Smallburrow,Hobbits,,
72,TA 570,TA 830,Male,,,Siriondil,Men,Gondor,Unnamed wife
73,SA 521,,Female,,,Silmariën,Men,,Elatan
74,"Unknown, possibly during the ,First Age","Unknown, possibly TA 3019",Female,,Large and immense,Shelob,Other,Torech Ungol,
75,TA 2050,,Male,,7'1,Shagrat,Other,Cirith Ungol,
76,,TA 2000,Male,None,,Scatha,Dragons,,
77,"Before the creation of ,Arda","March 25 ,3019",Male,Various ,Various until ,Sauron,Maiar,,None
78,"Before the creation of ,Arda","3 November ,3019",Male,White,,Saruman,Maiar,"Isengard,Nan Curunír",None
79,,,,,,Saradoc Brandybuck,Unknown,,
80,Before the creation of Arda,Immortal,Male,,,Salmar,Ainur,,
81,SR 1308,SR 1407,Male,,,Saradas Brandybuck,Hobbits,,
82,"Mid-,Third Age",,Male,,,Sangahyando,Men,,
83,TA 2920,FO 50,Male,,,Ted Sandyman,Hobbits,,
84,,,,,,Sandyman,Unknown,,
85,,Fate officially unknown,Male,,Short,Salgant,Elves,,
86,,,Male,,,Sagroth,Men,,
87,YT,FA 484,Male,,,Saeros,Elves,,
88,Fourth Age,,Male,,,Saelon,Men,,
89,"about ,FA 430",FA 495,Male,,,Sador,Men,,None known
90,SR 1179,,Male,,,Sadoc Brandybuck,Hobbits,,Unnamed wife
91,TA 2964,TA 3019,Male,Sandy,"1.22m (4'0"") ",Lotho Sackville-Baggins,Hobbits,,None
92,TA 2918,TA 3020,Female,,"1.17m (3'10"")",Lobelia Sackville-Baggins,Hobbits,,Otho Sackville-Baggins
93,,,,,,Camellia (Sackville) Baggins,Unknown,,
94,TA 1126,TA 1366,Male,,,Rómendacil II,Men,Gondor,Unnamed wife
95,YT,,Male,,,Rúmil (Noldo),Elves,,
96,TA 310,TA 541,Male,,,Rómendacil I,Men,Gondor,Unnamed wife
97,c. T.A. 2328,,Female,,,Rían (Gondor),Men,,Unnamed husband
98,FA 450,FA 473,Female,,,Rían,Men,,Huor
99,,,Male,,,Rufus Burrows,Hobbits,,Asphodel Brandybuck
100,,,,,,Ruffian Leader,Unknown,,
101,,,Male,,,Rúmil of Lórien,Elves,,
102,,,,,,Rudolph Bolger,Unknown,,
103,SR 1255,SR 1348,Male,,,Rudigar Bolger,Hobbits,Bree,Belba Baggins
104,,,,,,Ruby Gamgee,Unknown,,
105,TA 2788,,Male,,,Roäc,Other,,
106,TA 2849,"Late ,Third Age",Male,,,Rowan Greenhand,Hobbits,Shire,Belba Baggins
107,,,,,,Andwise Roper,Unknown,,
108,,FA 510,Male,,,Rog,Elves,,
109,,,,,,River-woman,Unknown,,
110,"Mid ,First Age",FA 460,Male,,,Ragnor,Men,,
111,"Late ,First Age",Late First Age ,Male,,,Ragnir,Men,,
112,"Late ,First Age",FA 460,Male,,,Radhruin,Men,,
113,,,,,,Radbug,Unknown,,
114,"Before the creation of ,Arda",None,Male,Brown-gray (films),,Radagast,Maiar,,None
115,,,,,,Olo Proudfoot,Unknown,,
116,,,,,,Sancho Proudfoot,Unknown,,
117,TA 2904,TA 3005,Male,Brown Gray (movie),,Odo Proudfoot,Hobbits,,Mrs. Proudfoot
118,"Late ,Third Age",,Female,,,Mrs. Proudfoot,Hobbits,,Odo Proudfoot
119,,FA 486,Male,,,Khîm,Dwarves,,
120,Second Age,,Male,White,,Khamûl,Men,"Rhûn,Dol Guldur,Sauron",
121,TA 2947,,Female,,,Ivriniel,Men,,
122,TA 2857,TA 2929,Female,Brown (film),,Ivorwen,Men,,Dírhael
123,SA 532,,Female,,,Isilmë,Men,,
124,"After ,SA 1320","Before ,SA 1731",Male,,,Isilmo,Men,,Unnamed wife
125,SA 3209,TA 2,Male,Black,Very tall almost 7'1,Isildur,Men,"Arnor,Gondor",Unnamed wife
126,TA 2832,TA 2930,Male,,,Isengrim Took III,Hobbits,,Not married
127,TA 2842,TA 2946,Male,,,Isembold Took,Hobbits,,Unnamed wife 
128,"Before the creation of ,Arda",Immortal,Male,,,Irmo,Ainur,,Estë
129,"b. ,TA 2990","Early-,Fourth Age",Male,,,Iorlas,Men,,
130,"Late ,Third Age",,Female,,,Ioreth,Men,,
131,"Late ,Second Age",,Female,,,Inzilbêth,Men,,Ar-Gimilzôr
132,,,,,,Inigo Baggins,Unknown,,
133,YT,"Unknown, probably still alive",Male,Probably Golden,,Ingwion,Elves,,
134,"YT, and perhaps firstborn",Still Alive,Male,Probably Golden,Tall,Ingwë,Elves,"Valinor,Taniquetil",Unnamed wife
135,"Late ,Third Age","Early ,Fourth Age",Male,,,Ingold,Men,,
136,"Mid ,First Age",FA 495,Male,,,Indor,Men,,Unnamed wife
137,,Still Alive,Female,Golden,Tall,Indis,Elves,Tirion,Finwë
138,TA 1950,TA 2076,Male,,,Imrazôr,Men,,Mithrellas
139,TA 2955,FO 34,Male,Black,Tall,Imrahil,Men,,Unnamed wife
140,around FA 325,First Age,Male,,,Imlach,Men,,Unnamed wife
141,"Unknown, Awakened in the ,Years of the Trees",,Female,,,Iminyë,Elves,,Imin
142,"Unknown, Awakened in the ,Years of the Trees",,Male,,,Imin,Elves,,Iminyë
143,,,Male,"Varies, White ",Varies,Eru Ilúvatar,Other,Timeless Halls,None
144,"Before the creation of ,Arda",,Female,,,Ilmarë,Ainur,,
145,YT 1469,Still Alive,Female,Golden,Tall,Idril,Elves,,Tuor
146,,FA 489,Male,,,Ibûn,Dwarves,,"Unknown, possibly none"
147,"Mid-,Third Age","Mid-,Third Age",Male,,,Húrin of Emyn Arnen,Men,,
148,TA 2515,TA 2628,Male,,,Húrin II,Men,,Unnamed wife
149,TA 2124,TA 2244,Male,,,Húrin I,Men,,Unnamed wife
150,FA 441,FA 502,Male,"Golden, grey (in old age)",,Húrin,Men,,Morwen Eledhwen
151,"Late ,Third Age","Winter of ,TA 2759",Male,,,Háma (Helm's son),Men,,
152,TA 2975,"March 3, or ,4 ,3019",Male,Reddish brown (movie),,Háma,Men,,"Unknown, possibly none"
153,TA 1391,TA 1621,Male,,,Hyarmendacil II,Men,Gondor,Unnamed wife
154,TA 899,TA 1149,Male,,,Hyarmendacil I,Men,Gondor,Unnamed wife
155,,,,,,Hurin (Warden of the Keys),Unknown,,
156,FA 442,FA 473,Male,Golden,Tallest of all mortal men save his son Tuor only,Huor,Men,,Rían
157,"Late ,FA",FA 499,Male,,,Hunthor,Men,,Unnamed wife
158,"Late ,First Age",FA 473,Male,,,Hundar,Men,,Unnamed wife
159,"Mid ,FA",Mid FA ,Male,,,Hundad,Men,,Unnamed wife
160,First Age,FA 466,Male,,Horse-sized,Huan,Other,,
161,,,,,,Tobold Hornblower,Unknown,,
162,"Late ,Third Age","Late ,TA 3018",Male,,,Tobias Hornblower,Hobbits,Shire,
163,,,,,,Tanta Hornblower,Unknown,,
164,"Possibly late ,Third Age","March 15 ,TA 3019",Male,Blond (Video game),,Horn,Men,,
165,"Before the creation of ,Arda",Immortal,Male,,,Eönwë,Ainur,,
166,YT,FA 400,Male,Dark,Tall,Eöl,Elves,Nan Elmoth,Aredhel
167,Years of the Trees,Still alive,Female,Star-like ,,Eärwen,Elves,,Finarfin
168,TA 1928,TA 2050,Male,,,Eärnur,Men,Gondor,None
169,TA 1883,TA 2043,Male,,,Eärnil II,Men,Gondor,Unnamed wife
170,TA 736,TA 936,Male,,,Eärnil I,Men,Gondor,Unnamed wife
171,SA 361,"Early ,Second Age",Male,,,Eärendur of Númenor,Men,,Unnamed wife
172,TA 640,TA 861,Male,,,Eärendur of Arnor,Unknown,,Unnamed wife
173,"Late ,Second Age",Late Second Age,Male,,,Eärendur (Lord of Andúnië),Men,,
174,TA 48,TA 324,Male,,,Eärendil of Gondor,Men,Gondor,Unnamed wife
175,FA 503,Still Alive,Male,Golden,,Eärendil,Half-elven,,Elwing
176,"Before the creation of ,Arda",Immortal,Female,,,Estë,Ainur,,Irmo
177,"Late ,Second Age","Early ,Third Age",Male,,,Estelmo,Men,,
178,"Late ,Third Age","early ,Fourth Age",Male,,Tall,Erkenbrand,Men,,
179,,,Male,,,Erestor,Elves,,
180,SA 771,SA 985,Female,Dark,,Erendis,Men,Númenor,Tar-Aldarion
181,unknown,unknown,Male,,,Erellont,Elves,,unknown
182,TA 2990,"Early ,Fourth Age",Male,,,Erchirion,Men,,
183,TA 1999,TA 2116,Male,,,Eradan,Men,,Unnamed wife
184,TA 2995,FO,Female,Pale gold,Tall,owyn,Men,,Faramir
185,TA 2485,TA 2545,Male,Blond,,Eorl the Young,Men,Rohan,Unnamed wife
186,TA 2990,FO 63,Male,Dirty blond,Tall-6'6,omer,Men,Rohan,Lothíriel after the War of the Ring
187,"Unknown, possibly in the ,First Age",,Male,,,Enerdhil,Elves,,
188,"Unknown, Awakened in the ,Years of the Trees",,Female,,,Enelyë,Elves,,Enel
189,"Unknown, Awakened in the Years of the Trees",,Male,,,Enel,Elves,,Enelyë
190,FA 406,,Female,,,Emeldir,Men,,Barahir
191,FA 503,Still Alive,Female,Dark,,Elwing,Half-elven,,Eärendil
192,FA 500,FA 506,Male,Possibly dark,,Eluréd and Elurín,Elves,,
193,FA 532,SA 442,Male,,,Elros,Half-elven,Númenor,Unnamed wife
194,FA 532,"Still alive; departed to ,Aman, on ,September 29 ,3021",Male,Dark,Tall,Elrond,Half-elven,Rivendell,Celebrían
195,TA 2987,FO 57,Male,,,Elphir,Men,,Unnamed wife
196,,,,,,Elmo,Unknown,,
197,TA 130,,Male,Dark,Tall,Elladan and Elrohir,Elves,,
198,FO 8,FO 103,Male,,,Elfwine,Men,Rohan,
199,TA 2950,TA 2978,Female,,,Elfhild,Men,Rohan,Théoden
200,TA 2985,"Early ,Fourth Age",Male,Dark,,Elfhelm,Men,,
201,YT,YT 1500,Female,Golden,Tall,Elenwë,Elves,,Turgon
202,TA 552,TA 777,Male,,,Elendur of Arnor,Men,Arnor,Unnamed wife
203,SA 3299,TA 2,Male,,,Elendur,Men,,Unnamed wife
204,SA 3119,SA 3441 ,Male,Brown,"7' 10""",Elendil,Men,"Arnor,Gondor",Unnamed wife
205,,Presumably still alive,,,,Elemmírë (elf),Elves,,
206,,"FA 510,(presumably)",Male,,,Elemmakil,Elves,,
207,FO 43,"Before ,FO 220",Male,Dark,,Eldarion,Men,"Reunited Kingdom,Arnor,Gondor",
208,YT,,Female,,,Eldalótë,Elves,,Angrod
209,TA 1255,TA 1490,Male,,,Eldacar (King of Gondor),Men,Gondor,Unnamed wife
210,TA 87,TA 339,Male,,,Eldacar (King of Arnor),Men,Arnor,Unnamed wife
211,,,Male,,,Elboron,Men,,
212,"Early ,Second Age",Early Second Age ,Male,,,Elatan,Men,,Silmariën
213,"Mid ,First Age","Between ,FA 455, - ,FA 460",Female,,,Eilinel,Men,,Gorlim
214,"Late ,Third Age",Late Third Age,Female,,,Eglantine (Banks) Took,Hobbits,,Paladin Took II
215,,FA 538,Male,,,Egalmoth (elf),Elves,,"Unknown, possibly none"
216,TA 2626,TA 2743,Male,,,Egalmoth,Men,,Unnamed wife
217,,FA 465,Male,,,Edrahil,Elves,,
218,,FA 510,Male,Dark,,Ecthelion of the Fountain,Elves,,
219,TA 2886,TA 2984,Male,,,Ecthelion II,Men,,Unnamed wife
220,TA 2600,TA 2698,Male,,,Ecthelion I,Men,,Possibly none
221,,,,,,Ebor,Unknown,,
222,"Late ,Third Age","March 15 ,3019",Male,,,Dúnhere,Men,,
223,TA 2760,"After ,TA 2941",Female,,,Dís,Dwarves,,
224,"Late ,First Age",Late First Age ,Male,,,Dírhavel,Men,,
225,TA 2838,"After ,TA 2929",Male,Brown (film),,Dírhael,Men,,Ivorwen
226,"Late ,Third Age","March 15 ,3019",Male,,,Déorwine,Men,,
227,TA 2644,TA 2718,Male,,,Déor,Men,Rohan,
228,"Between TA 2400 and ,TA 2430",TA 2463,Male,Dark-brown,,Déagol,Hobbits,,None
229,TA 3011,,Male,,,Borlas,Men,,Unnamed wife
230,"Late ,First Age",FA 473,Male,,,Borlad,Men,,Unnamed wife
231,TA 1879,TA 1998,Male,,,Pelendur,Men,,
232,Before the creation of Arda,,Male,,,Pallando,Ainur,,
233,TA 2910,TA 3012,Male,,"1.22m (4'0"")",Otho Sackville-Baggins,Hobbits,,Lobelia Sackville-Baggins
234,TA 222,TA 492,Male,,,Ostoher,Men,Gondor,Unnamed wife
235,"Before the creation ,Arda",Immortal,Male,,,Ossë,Ainur,,Uinen
236,,,Male,,,Orophin,Elves,,
237,First Age,SA 3434,Male,,,Oropher,Elves,Woodland Realm,Unnamed wife
238,"Before the creation of ,Arda",Immortal,Male,,Varies,Oromë,Ainur,,Vána
239,SA 382,,Male,,,Oromendil,Men,,
240,TA 2576,TA 2685,Male,,,Orodreth (Steward),Men,,Unnamed wife
241,YT,"FA 495 ,Battle of Tumhalad",Male,Golden,,Orodreth,Elves,Nargothrond,Unnamed wife
242,,,,,,Orleg,Unknown,,
243,TA 2865,TA 2994,Male,,,Ori,Dwarves,,
244,,FA 510,Male,,,Orcobal,Orcs,,
245,"Sometime before ,SA 799",,Male,,,Orchaldor,Men,,Ailinel
246,TA 1787,TA 1944,Male,,,Ondoher,Men,Gondor,Unnamed wife
247,Possibly Firstborn,Still Alive,Male,Silver,,Olwë,Elves,"Tol Eressëa,Alqualondë",Unnamed Wife
248,TA 2923,"Early ,Fourth Age",Male,,,Old Noakes,Hobbits,,Unnamed wife
249,,,,,,Old Man Willow,Unknown,,
250,"Late ,Second Age",,Male,,,Ohtar,Men,,
251,"Early ,Second Age",,Female,,,Núneth,Men,,Beregar
252,Late Second Age ,SA 3065,Male,,,Númendil,Men,,Unnamed wife
253,"Late ,Third Age",Late Third Age ,Male,,,Nár,Dwarves,,
254,"Late ,Third Age",TA 2994,Male,,,Náli,Dwarves,,
255,TA 2338,TA 2585,Male,,,Náin II,Dwarves,Grey Mountains,Unnamed wife
256,TA 1832,TA 1981,Male,,,Náin I,Dwarves,Khazad-dûm,Unnamed wife
257,TA 2665,TA 2799,Male,,,Náin (father of Dáin II Ironfoot),Dwarves,,Unnamed wife
258,"Late ,Third Age",,Male,,,Hob Hayward,Hobbits,Shire,
259,TA 2846,,Male,,,Hob Gammidge,Hobbits,,Rowan
260,"Late ,Third Age","March 15 ,3019",Male,,Tall,Hirluin,Men,,
261,,,,,,Hild,Unknown,,
262,"Late ,Third Age",TA 3019,Male,,Tall,Hirgon,Men,,
263,FO 41,,Male,,,Herumor (Fourth Age),Men,,
264,Second Age,,Male,,,Herumor,Men,,
265,SA 2286,SA 2657,Male,,,Herucalmo,Men,,Tar-Vanimeldë
266,"Late-,Third Age","March 15 ,3019",Male,,,Herubrand,Men,,Unnamed wife
267,TA 2037,TA 2148,Male,,,Herion,Men,,Unnamed wife
268,,,Male,,,Hendor,Elves,,
269,"Late-,Third Age","March 15 ,3019",Male,Gray,,Herefara,Men,,Unnamed wife
270,"Early ,Second Age",unknown,Male,,,Henderch,Men,,
271,TA 2691,TA 2759,Male,,,Helm Hammerhand,Men,Rohan,Unnamed wife
272,,,,,,Mat Heathertoes,Unknown,,
273,"Sometime before ,SA 799",,Male,,,Hatholdir,Men,,Unnamed wife
274,F.A. 365,,Male,,,Hathol,Men,,
275,"Mid ,First Age",FA 460,Male,,,Hathaldir,Men,,
276,FA 419,,Female,,,Hareth,Men,,Galdor
277,"Late ,Third Age","March 15 ,3019",Male,,,Harding,Men,,
278,FA 470,FA 501,Male,,,Hardang,Men,,None
279,FA 441,FA 495,,,,Handir,Men,Brethil,Beldis
280,TA 2760,,Male,,,Hamfast of Gamwich,Hobbits,,Unnamed wife
281,"Late ,First Age",Late First Age ,Male,,,Halmir,Men,,Unnamed wife
282,SA 711,"Mid ,Second Age",Male,,,Hallatan,Men,,Unnamed wife
283,TA 2480,TA 2605,Male,,,Hallas (Steward),Men,,Unnamed wife
284,SA 852,SA 1211,Male,,,Hallacar,Men,,Tar-Ancalimë
285,"Late ,Third Age","Winter of ,TA 2758",Male,,,Haleth (Helm's son),Men,,
286,FA 341,FA 420,Female,,,Haleth,Men,,None
287,,TA 3019,Male,Golden,,Haldir (Lorien),Elves,,
288,FA 413,FA 473,Male,,,Haldir (Haladin),Men,,Glóredhel
289,,,,,,Haldar,Unknown,,
290,,,,,,Haldad,Unknown,,
291,TA 2916,"March 15 ,3019",Male,Black,Tall,Halbarad,Men,,
292,FA 390,FA 455,Male,Golden,,Hador,Men,,Gildis
293,"Late-,Third Age","February 28 ,3019",Male,,,Gárulf,Men,,
294,TA 2245,TA 2395,Male,,,Hador (Steward),Men,,Unnamed wife
295,TA 2767,"March 17 ,3019",Male,,4'5 - 5' (Estimate) ,Dáin II Ironfoot,Dwarves,Lonely Mountain,Unnamed wife
296,TA 2440,TA 2589,Male,,,Dáin I,Dwarves,Grey Mountains,Unnamed wife
297,TA 2772,FO 91,Male,Brown,,Dwalin,Dwarves,,
298,"Before the creation of ,Arda",January 253019,Male,Mane of red flames,"Slightly larger and taller than a Man (book), 20 feet (movie)",Durin's Bane,Maiar,,
299,FO 2,,Male,,,Durin VII,Dwarves,Khazad-dum,
300,,,,,,Durin,Unknown,,
301,"Late-,Third Age","Early-,Fourth Age",Male,Dark (Decipher Card),Tall,Duinhir,Men,,Unnamed wife
302,"Late ,Third Age",TA 3019,Male,,,Duilin,Men,,
303,,FA 465,Male,,,Draugluin,Other,,
304,"Late ,First Age",FA 499,Males,,,Dorlas,Men,,
305,TA 2827,,Male,Gray (film),,Dori,Dwarves,,
306,,,Male,,,Dodinas Brandybuck,Hobbits,,
307,TA 2328,TA 2435,Male,,,Dior (Steward),Men,,Possibly none
308,"FA 470, ","FA 506, ",Male,Possibly dark,,Dior,Half-elven,Doriath,Nimloth
309,,,,,,Dina Diggle,Unknown,,
310,SR 1316,SR 1410,Male,,,Dinodas Brandybuck,Hobbits,,
311,TA 2995,"Before ,FO 63",Female,Brown (film),,Diamond Took,Hobbits,,Peregrin Took
312,"Late ,Third Age",,Male,,,Dervorin,Men,,
313,"Late ,Third Age","Mid ,March ,3019",Male,,,Derufin,Men,,
314,TA 2930,"March 15 ,3019",Male,"Dark, grey (in old age)",,Denethor II,Men,,Finduilas
315,TA 2375,TA 2477,Male,,,Denethor I,Men,,Unnamed wife
316,YT,YT 1497,Male,,,Denethor (First Age),Elves,Ossiriand,
317,"Late ,Third Age",TA 3019,Male,Dark,,Damrod,Men,,
318,,,,,,Daisy Gamgee,Unknown,,
319,"Late ,First Age",FA 460,Male,,,Dairuin,Men,,
320,YT,,Male,Dark ,,Daeron,Elves,,None
321,"YT, 1050. Age = 11,484.9 Sun Years or 1,198.6 Valian Years as of FO 121 (death of Arwen).","Still alive, sailed into the ,West, sometime during the ,Fourth Age last of all elves to leave ,Middle-earth,.",Male,"Silver, bearded",Very tall,Círdan,Elves,,Presumably none
322,"During the ,Noontide of Valinor",FA 506,Male,Dark,,Curufin,Elves,Himlad,Unnamed wife
323,TA 2238,TA 2488,Male,,,in (King of Durin's Folk),Men,Grey Mountains,Unnamed wife
324,TA 2774,TA 2994,Male,,,in,Dwarves,,
325,"Before the creation of ,Arda",Immortal,Male,,Various,mar,Ainur,,None
326,"Early ,First Age",,Male,,,bal,Men,,
327,YT,,Female,,,rimë,Elves,,
328,SA 700,,Female,,,rildë,Men,,
329,"Late ,Third Age",,Male,,,othain,Men,,
330,TA 2961,TA 3002,Male,Blond,,omund,Men,,Théodwyn
331,"c. ,TA 2544",,Male,,,ofor,Men,,Unnamed wife
332,"Early ,Second Age",Early Second Age ,Female,White or grey,,Zamîn,Men,,
333,SA 371,,Female,,,Yávien,Men,,
334,"Before the creation of ,Arda",Immortal,Female,,Varies,Yavanna,Ainur,Pastures of Yavanna,Aulë
335,"Late-,Third Age","Early-,Fourth Age",Male,,,Wídfara,Men,,Unnamed wife
336,"Late ,Third Age",TA 2759,Male,,,Wulf I,Men,Rohan,
337,"Late ,First Age",FA 473,Male,,,Borlach,Men,,
338,TA 2450,TA 2711,Male,,,Borin,Dwarves,,
339,TA 2834,,Male,Ginger,,Bombur,Dwarves,,
340,"Unknown, before the coming of Melkor","Unknown, possibly immortal",Male,Brown,,Tom Bombadil,Unknown,Old Forest,Goldberry
341,,,,,,Wilimar Bolger,Unknown,,
342,TA 2904,TA 3000,Male,,,Wilibald Bolger,Hobbits,,Prisca Baggins
343,,,,,,Theobald Bolger,Unknown,,
344,,,,,,Rudibert Bolger,Unknown,,
345,TA 2938,,Female,,,Rosamunda (Took) Bolger,Men,,Odovacar Bolger
346,,,,,,Prisca (Baggins) Bolger,Unknown,,
347,TA 2935,FO 10,Male,,,Odovacar Bolger,Hobbits,,Rosamunda Took
348,TA 2897,"Late ,Third Age",Female,,,Jessamine (Boffin) Bolger,Hobbits,,Herugar Bolger
349,,,,,,Gundahar Bolger,Unknown,,
350,TA 2980,"Early ,Fourth Age",Male,,,Fredegar Bolger,Hobbits,,"unknown, possibly unmarried"
351,TA 2942,FO 22,Male,Brown (movie),,Filibert Bolger,Hobbits,,Poppy Chubb-Baggins
352,,,,,,Adalgar Bolger,Unknown,,
353,,TA 2941,Male,None,"8,4  Body weight = 190kg",Bolg,Other,,
354,,,,,,Boldog (Character),Unknown,,
355,TA 2843,,Male,Dark Brown (films),,Bofur,Dwarves,,
356,,,,,,Uffo Boffin,Unknown,,
357,TA 2988,"Early-,Fourth Age",Male,,,Tosto Boffin,Hobbits,,
358,TA 2860,,Male,,,Rollo Boffin,Hobbits,,Lavender Grubb
359,TA 2812,TA 2900,Male,,,Otto Boffin,Hobbits,,Lavender Grubb
360,,,,,,Lavender (Grubb) Boffin,Unknown,,
361,TA 2894,TA 2986,Male,,,Jago Boffin,Hobbits,,Unnamed wife
362,"Late ,Third Age",Late Third Age ,Female,,,Ivy (Goodenough) Boffin,Hobbits,,Buffo Boffin
363,TA 2854,TA 2945,Male,,,Hugo Boffin,Hobbits,,Donnamira Took
364,,,,,,Gruffo Boffin,Unknown,,
365,TA 2946,,Male,,,Griffo Boffin,Hobbits,,Daisy Baggins
366,TA 2904,TA 3004,Female,,,Gerda (Boffin) Bolger,Hobbits,,Adalbert Bolger
367,TA 2978,"Early ,Fourth Age",Male,,,Folco Boffin,Hobbits,,
